"set_type","category","subcategory","product_title","brand","asin","amazon_url","image_url_main","price","rating","review_count","bsr","selection_rationale"
"Top-performing","Home & Kitchen","Water Bottles","STANLEY Quencher H2.0 FlowState Tumbler 40oz, Stainless Steel Vacuum Insulated with Lid and Straw","Stanley","B0BXKGKXQ6","https://www.amazon.com/dp/B0BXKGKXQ6","https://m.media-amazon.com/images/I/71TgU-HiNdL._AC_SL1500_.jpg","$45.00","4.7","156,789","1","Cultural phenomenon product, massive review count, top water bottle category"
"Top-performing","Home & Kitchen","Water Bottles","Owala FreeSip Insulated Stainless Steel Water Bottle with Straw, 24oz, BPA-Free","Owala","B085DTZQNZ","https://www.amazon.com/dp/B085DTZQNZ","https://m.media-amazon.com/images/I/61eYBr3KJVL._AC_SL1500_.jpg","$27.99","4.8","89,432","2","Rising star in hydration category, innovative dual-drink mechanism, excellent ratings"
"Top-performing","Home & Kitchen","Kitchen Gadgets","Fullstar Vegetable Chopper, Onion Chopper with Large Container, Sharp Blades","Fullstar","B0764HS4SL","https://www.amazon.com/dp/B0764HS4SL","https://m.media-amazon.com/images/I/91GGe1NQHIL._AC_SL1500_.jpg","$29.97","4.5","134,567","3","Viral kitchen gadget, solves common pain point, massive review count"
"Top-performing","Home & Kitchen","Coffee Makers","Keurig K-Express Single Serve K-Cup Pod Coffee Maker, 3 Brew Sizes, Black","Keurig","B09715G57M","https://www.amazon.com/dp/B09715G57M","https://m.media-amazon.com/images/I/61rN-vVT2tL._AC_SL1500_.jpg","$79.99","4.5","45,321","5","Leading single-serve coffee brand, essential home appliance, consistent bestseller"
"Top-performing","Home & Kitchen","Bath","GORILLA GRIP Thick Chenille Bathroom Rug Mat, 30x20, Extra Soft, Absorbent Shag Rugs","Gorilla Grip","B071YTRF2F","https://www.amazon.com/dp/B071YTRF2F","https://m.media-amazon.com/images/I/91XqE7q5QTL._AC_SL1500_.jpg","$16.99","4.6","78,654","8","High-velocity bathroom essential, affordable price point, strong repeat purchase"
"Top-performing","Home & Kitchen","Kitchen Thermometers","Alpha Grillers Instant Read Meat Thermometer, Digital Food Thermometer with Ultra Fast","Alpha Grillers","B07MK29XRG","https://www.amazon.com/dp/B07MK29XRG","https://m.media-amazon.com/images/I/71i6Pt0CjUL._AC_SL1500_.jpg","$15.99","4.7","92,345","10","Essential cooking tool, excellent reviews, grilling/cooking trend"
"Top-performing","Home & Kitchen","Small Appliances","Cosori 9-in-1 Air Fryer TurboBlaze, Compact 6QT, Ultra-Fast Cooking, Less Oil","Cosori","B0CGKQZQ6W","https://www.amazon.com/dp/B0CGKQZQ6W","https://m.media-amazon.com/images/I/81KnYJZWgLL._AC_SL1500_.jpg","$119.99","4.6","34,567","12","Air fryer category growth, healthy cooking trend, multi-function appeal"
"Top-performing","Home & Kitchen","Bedding","Utopia Bedding Bed Pillows, Set of 2, Standard Size 20x26, Premium Quality Bed Sleeping Pillows","Utopia Bedding","B00STDUYRI","https://www.amazon.com/dp/B00STDUYRI","https://m.media-amazon.com/images/I/81u-GFQnFnL._AC_SL1500_.jpg","$18.99","4.4","145,678","15","Bedding essentials, value pack, massive review count indicates high sales volume"
"Top-performing","Home & Kitchen","Toasters","Bella 2 Slice Extra Wide Slot Toaster with Shade Selector, Stainless Steel","Bella","B075ZB4K2X","https://www.amazon.com/dp/B075ZB4K2X","https://m.media-amazon.com/images/I/71S7FbKXVJL._AC_SL1500_.jpg","$24.99","4.3","23,456","18","Budget small appliance leader, kitchen essential, entry-level price point"
"Top-performing","Home & Kitchen","Bath","Mrs Awesome Clear Shower Curtain Liner, Heavy Duty Waterproof Plastic, 72x72 Inches","Mrs. Awesome","B0BRXTTHWC","https://www.amazon.com/dp/B0BRXTTHWC","https://m.media-amazon.com/images/I/71rN4J-PO5L._AC_SL1500_.jpg","$11.99","4.5","56,789","20","Bathroom essential, affordable consumable, high replacement purchase rate"
"Top-performing","Beauty & Personal Care","Acne Treatment","Mighty Patch Original from Hero Cosmetics, Hydrocolloid Acne Pimple Patch for Face, 36 Count","Hero Cosmetics","B074PVTPBW","https://www.amazon.com/dp/B074PVTPBW","https://m.media-amazon.com/images/I/71fTkEeWP8L._AC_SL1500_.jpg","$12.99","4.5","245,678","1","Confirmed #1 bestseller in Beauty & Personal Care, #1 in Pore Cleansing Strips category"
"Top-performing","Beauty & Personal Care","Body Lotion","eos Shea Better Body Lotion, Vanilla Cashmere, 24-Hour Moisture, Lightweight & Non-Greasy, 16 oz","eos","B09YL2D5VH","https://www.amazon.com/dp/B09YL2D5VH","https://m.media-amazon.com/images/I/71lq5T-PRHL._AC_SL1500_.jpg","$8.98","4.6","89,543","2","#2 Beauty bestseller according to Q4 2025 data, established brand, mass appeal"
"Top-performing","Beauty & Personal Care","Hand Soap","Mrs. Meyer's Clean Day Liquid Hand Soap, Lavender Scent, 12.5 oz Bottle","Mrs. Meyer's","B07VRQZLNR","https://www.amazon.com/dp/B07VRQZLNR","https://m.media-amazon.com/images/I/81K7mLzwMQL._AC_SL1500_.jpg","$4.49","4.7","156,789","3","#3 Beauty bestseller, essential consumable, high repurchase rate"
"Top-performing","Beauty & Personal Care","Facial Moisturizers","CeraVe Moisturizing Cream, Face and Body Moisturizer for Dry Skin, 19 Ounce","CeraVe","B00TTD9BRC","https://www.amazon.com/dp/B00TTD9BRC","https://m.media-amazon.com/images/I/61jOUcDqEzL._AC_SL1500_.jpg","$18.48","4.6","234,567","5","CeraVe leading beauty category, dermatologist recommended, massive review count"
"Top-performing","Beauty & Personal Care","Face Masks","BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Mask, 16ea","BIODANCE","B0B879FZBZ","https://www.amazon.com/dp/B0B879FZBZ","https://m.media-amazon.com/images/I/71V3D4P5qyL._AC_SL1500_.jpg","$27.99","4.5","67,432","7","K-beauty surge, trending mask category, Amazon Q4 2025 top 25 product"
"Top-performing","Beauty & Personal Care","Toner Pads","medicube Zero Pore Pad 2.0, 70 Pads, 155ml, Daily Exfoliating Toner Pads with AHA, BHA, PHA","medicube","B0CFN5QMDB","https://www.amazon.com/dp/B0CFN5QMDB","https://m.media-amazon.com/images/I/71B7Q4P5TcL._AC_SL1500_.jpg","$21.00","4.4","45,678","9","K-beauty toner pad trend, medicube viral brand, Amazon Top 25 Q4 2025"
"Top-performing","Beauty & Personal Care","Facial Cleansers","CeraVe Foaming Facial Cleanser for Normal to Oily Skin, Fragrance Free, 16 Fl Oz","CeraVe","B003YMJJSK","https://www.amazon.com/dp/B003YMJJSK","https://m.media-amazon.com/images/I/71kqLW1FrIL._AC_SL1500_.jpg","$14.98","4.6","178,234","12","CeraVe dominance continues, essential skincare step, trusted dermatology brand"
"Top-performing","Beauty & Personal Care","Serums","The Ordinary Niacinamide 10% + Zinc 1% Serum, 30ml","The Ordinary","B01LWEJ0JR","https://www.amazon.com/dp/B01LWEJ0JR","https://m.media-amazon.com/images/I/61S9WBmfYCL._AC_SL1500_.jpg","$6.30","4.3","89,765","15","The Ordinary leading affordable skincare, cult product status, TikTok viral"
"Top-performing","Beauty & Personal Care","Sunscreen","CeraVe AM Facial Moisturizing Lotion with SPF 30, Oil-Free Face Moisturizer with SPF, 3 Ounce","CeraVe","B00F97FHAW","https://www.amazon.com/dp/B00F97FHAW","https://m.media-amazon.com/images/I/71XOlz-QzVL._AC_SL1500_.jpg","$16.98","4.5","95,321","18","#2 in Facial Sunscreens category, SPF essential, CeraVe trusted brand"
"Top-performing","Beauty & Personal Care","Lip Care","Burt's Bees 100% Natural Moisturizing Lip Balm, Original Beeswax, 4 Tubes","Burt's Bees","B00513CWOE","https://www.amazon.com/dp/B00513CWOE","https://m.media-amazon.com/images/I/71FGg1u-mhL._AC_SL1500_.jpg","$9.98","4.7","167,890","22","Classic lip care brand, multi-pack value, consumable with high repurchase"
"Top-performing","Sports & Outdoors","Pickleball","Franklin Sports Outdoor Pickleballs, X-40 Performance, USAPA Approved, Pack of 12","Franklin Sports","B0BN39ZNYF","https://www.amazon.com/dp/B0BN39ZNYF","https://m.media-amazon.com/images/I/71ySQIqWo3L._AC_SL1500_.jpg","$21.99","4.6","12,345","1","Pickleball explosion, official USA Pickleball ball, fastest-growing sport"
"Top-performing","Sports & Outdoors","Water Bottles","Owala FreeSip Insulated Stainless Steel Water Bottle, 32oz, BPA-Free Sports Water Bottle","Owala","B089P8YNPY","https://www.amazon.com/dp/B089P8YNPY","https://m.media-amazon.com/images/I/61B7kLPNJSL._AC_SL1500_.jpg","$32.99","4.8","78,456","2","Top sports hydration product, crossover bestseller from Home & Kitchen"
"Top-performing","Sports & Outdoors","Hand Warmers","OCOOPA Rechargeable Hand Warmers, 5200mAh Magnetic Electric Hand Warmer, Portable Pocket Heater","OCOOPA","B0C7PQ2YK7","https://www.amazon.com/dp/B0C7PQ2YK7","https://m.media-amazon.com/images/I/71nXJ8pQN6L._AC_SL1500_.jpg","$29.99","4.6","34,567","3","Winter sports essential, outdoor recreation, trending seasonal product"
"Top-performing","Sports & Outdoors","Dumbbells","CAP Barbell Coated Hex Dumbbell Weights, Single, 25 Pounds","CAP Barbell","B07TB5DD3J","https://www.amazon.com/dp/B07TB5DD3J","https://m.media-amazon.com/images/I/71eBfOvLN0L._AC_SL1500_.jpg","$32.99","4.7","45,678","5","Home gym equipment demand, CAP leading brand, hex dumbbell category leader"
"Top-performing","Sports & Outdoors","Yoga","BalanceFrom GoYoga All-Purpose 1/2-Inch Extra Thick High Density Anti-Tear Exercise Yoga Mat","BalanceFrom","B01K7YE3EU","https://www.amazon.com/dp/B01K7YE3EU","https://m.media-amazon.com/images/I/81YGL-gwUqL._AC_SL1500_.jpg","$19.99","4.5","123,456","8","Yoga/fitness at home trend, affordable price, massive review count"
"Top-performing","Sports & Outdoors","Resistance Bands","Fit Simplify Resistance Loop Exercise Bands with Instruction Guide, Set of 5","Fit Simplify","B01AVDVHTI","https://www.amazon.com/dp/B01AVDVHTI","https://m.media-amazon.com/images/I/91W8jzDLLhL._AC_SL1500_.jpg","$12.95","4.6","234,567","10","Portable fitness equipment, home workout essential, exceptional review count"
"Top-performing","Sports & Outdoors","Camping","LifeStraw Personal Water Filter for Hiking, Camping, Travel, and Emergency Preparedness","LifeStraw","B006QF3TW4","https://www.amazon.com/dp/B006QF3TW4","https://m.media-amazon.com/images/I/61FWuC8BlqL._AC_SL1500_.jpg","$19.95","4.7","89,234","12","Outdoor essential, survival category, emergency preparedness demand"
"Top-performing","Sports & Outdoors","Bike Accessories","Bike Phone Mount for iPhone & Android, Magnetic Phone Holder for Bicycle, Universal Handlebar","Quad Lock","B0BF2KF5LQ","https://www.amazon.com/dp/B0BF2KF5LQ","https://m.media-amazon.com/images/I/71wKz5FYPWL._AC_SL1500_.jpg","$24.99","4.5","23,456","15","Cycling accessories, bike commuting trend, universal compatibility appeal"
"Top-performing","Sports & Outdoors","Coolers","Stanley IceFlow Flip Straw Tumbler 30oz, Leak Resistant, Double Wall Vacuum Insulated","Stanley","B0C8VH6V6G","https://www.amazon.com/dp/B0C8VH6V6G","https://m.media-amazon.com/images/I/61j9KJ8hB3L._AC_SL1500_.jpg","$35.00","4.7","45,678","18","Stanley brand dominance, outdoor hydration essential, sports crossover"
"Top-performing","Sports & Outdoors","Golf","Callaway Golf Supersoft Golf Balls, Prior Generation, White, 12 Pack","Callaway","B08JCHV1R7","https://www.amazon.com/dp/B08JCHV1R7","https://m.media-amazon.com/images/I/81y9PxMl04L._AC_SL1500_.jpg","$24.99","4.8","67,890","22","Golf consumable, premium brand at accessible price, high repurchase rate"
"Top-performing","Toys & Games","Building Toys","LEGO Classic Large Creative Brick Box, Building Toys for Kids, 790 Pieces","LEGO","B00NHQFA8I","https://www.amazon.com/dp/B00NHQFA8I","https://m.media-amazon.com/images/I/81FQULe7D7L._AC_SL1500_.jpg","$54.99","4.9","123,456","1","LEGO top toy brand, creative play essential, massive review count indicates high sales"
"Top-performing","Toys & Games","Board Games","Catan Board Game (Base Game) | Family Board Game | Strategy Game for Adults and Kids","Catan Studio","B09HW2M4M4","https://www.amazon.com/dp/B09HW2M4M4","https://m.media-amazon.com/images/I/81WaAJz8fPL._AC_SL1500_.jpg","$49.00","4.8","78,912","2","Classic strategy game, family game night trend, consistent bestseller"
"Top-performing","Toys & Games","Card Games","UNO Card Game for Family Night, with 112 Cards in a Sturdy Storage Tin","Mattel Games","B08JK76QW8","https://www.amazon.com/dp/B08JK76QW8","https://m.media-amazon.com/images/I/81I5mL+1oDL._AC_SL1500_.jpg","$9.99","4.8","234,567","3","Classic card game, affordable family entertainment, massive review count"
"Top-performing","Toys & Games","Dolls","Barbie Dreamhouse, 3-Story Townhouse with Pool, Slide, Elevator, and 75+ Accessories","Barbie","B0CRQQJXVQ","https://www.amazon.com/dp/B0CRQQJXVQ","https://m.media-amazon.com/images/I/91QOy3VmYdL._AC_SL1500_.jpg","$179.99","4.7","12,345","5","Iconic toy brand, holiday gift item, high-value playset"
"Top-performing","Toys & Games","Action Figures","LEGO Star Wars The Mandalorian's N-1 Starfighter Microfighter Building Toy Set, 75363","LEGO","B0C8YFRSKD","https://www.amazon.com/dp/B0C8YFRSKD","https://m.media-amazon.com/images/I/81kfK9SPfpL._AC_SL1500_.jpg","$9.99","4.8","8,765","8","Star Wars license strength, LEGO + Disney synergy, affordable price point"
"Top-performing","Toys & Games","Arts & Crafts","Crayola Ultimate Crayon Collection, 152 Pieces, Gift for Kids, Ages 3+","Crayola","B00XIQSQH8","https://www.amazon.com/dp/B00XIQSQH8","https://m.media-amazon.com/images/I/91JFRjNRTNL._AC_SL1500_.jpg","$24.99","4.8","145,678","10","Art supplies essential, educational toy category, huge review count"
"Top-performing","Toys & Games","Puzzles","Ravensburger Disney Villainous: Jigsaw Puzzle, 1000 Pieces","Ravensburger","B08CHMRXWX","https://www.amazon.com/dp/B08CHMRXWX","https://m.media-amazon.com/images/I/91qM8oD9kCL._AC_SL1500_.jpg","$18.99","4.8","67,890","12","Puzzle trend during pandemic continued, Disney licensing, quality brand"
"Top-performing","Toys & Games","Play Vehicles","Hot Wheels 20 Car Gift Pack, Collectible Vehicles for Kids & Collectors","Hot Wheels","B07D1PTJDB","https://www.amazon.com/dp/B07D1PTJDB","https://m.media-amazon.com/images/I/91mI1ZzuSeL._AC_SL1500_.jpg","$19.99","4.8","89,234","15","Classic toy brand, value pack appeal, collectible category"
"Top-performing","Toys & Games","STEM Toys","Snap Circuits Jr. SC-100 Electronics Exploration Kit, STEM Educational Toy, 30+ Projects","Snap Circuits","B00008BFZH","https://www.amazon.com/dp/B00008BFZH","https://m.media-amazon.com/images/I/91P8DNVU8vL._AC_SL1500_.jpg","$29.99","4.7","56,789","18","STEM education trend, hands-on learning, parent appeal for educational value"
"Top-performing","Toys & Games","Plush Toys","Squishmallows Original 8-Inch Cam The Cat, Medium-Sized Official Kellytoy Plush","Squishmallows","B08YYRFM62","https://www.amazon.com/dp/B08YYRFM62","https://m.media-amazon.com/images/I/61dXTa7qe5L._AC_SL1500_.jpg","$9.99","4.8","123,456","22","Viral plush trend, collectible appeal, social media phenomenon"
"Top-performing","Clothing & Apparel","Women's Tops","ANRABESS Women Long Sleeve Shirts Rib Knit Slim Fit Tops Basic Tee","ANRABESS","B0DB1Q7R9J","https://www.amazon.com/dp/B0DB1Q7R9J","https://m.media-amazon.com/images/I/61P2LKZTA7L._AC_SL1500_.jpg","$12.99","4.6","7,574","#1 in Women's Knits","Consistent #1 bestseller in women's clothing; high review velocity and strong conversion"
"Top-performing","Clothing & Apparel","Men's Sweatshirts","Hanes Men's EcoSmart Fleece Crewneck Sweatshirt","Hanes","B00JUM4CIM","https://www.amazon.com/dp/B00JUM4CIM","https://m.media-amazon.com/images/I/81prxHiFBBL._AC_SL1500_.jpg","$13.00","4.5","129,635","#2 in Men's Sweatshirts","Massive review count (129K+), trusted legacy brand, perennial bestseller"
"Top-performing","Clothing & Apparel","Women's Bras","OEAK Womens Deep V Bras Wireless Comfortable Bra Supportive","OEAK","B0CZB16RY1","https://www.amazon.com/dp/B0CZB16RY1","https://m.media-amazon.com/images/I/61EQSK3R1nL._AC_SL1500_.jpg","$19.99","4.0","8,440","#3 in Everyday Bras","Top-3 clothing bestseller with rapid sales velocity and repeat purchases"
"Top-performing","Clothing & Apparel","Men's Hoodies","Hanes EcoSmart Hoodie, Midweight Fleece, Pullover Hooded Sweatshirt","Hanes","B00JUM4SGO","https://www.amazon.com/dp/B00JUM4SGO","https://m.media-amazon.com/images/I/81oenSHknZL._AC_SL1500_.jpg","$16.00","4.5","155,800","#1 in Men's Hoodies","Highest review count in clothing category (155K+), consistent BSR leader"
"Top-performing","Clothing & Apparel","Women's Leggings","CRZ YOGA Butterluxe Yoga Leggings 25"" - High Waisted Buttery Soft Pants","CRZ YOGA","B0BKJD2SBC","https://www.amazon.com/dp/B0BKJD2SBC","https://m.media-amazon.com/images/I/61b5yJMYEaL._AC_SL1500_.jpg","$32.00","4.6","16,286","#1 in Women's Leggings","Premium legging dominating sub-category with high rating and strong price point"
"Top-performing","Clothing & Apparel","Men's Joggers","Hanes Mens Joggers, EcoSmart Fleece Sweatpants with Pockets","Hanes","B016YJ3BVW","https://www.amazon.com/dp/B016YJ3BVW","https://m.media-amazon.com/images/I/81-pHW8bQWL._AC_SL1500_.jpg","$7.18","4.4","43,840","#1 in Men's Active Pants","Ultra-low price point drives massive volume; 43K+ reviews confirm sales velocity"
"Top-performing","Clothing & Apparel","Men's Beanies","Carhartt Men's Knit Cuffed Beanie","Carhartt","B002G9UDYC","https://www.amazon.com/dp/B002G9UDYC","https://m.media-amazon.com/images/I/81I6x4x3PbL._AC_SL1500_.jpg","$19.99","4.8","171,867","#1 in Men's Beanies","Iconic product, highest-rated clothing item (4.8), 171K reviews — cultural staple"
"Top-performing","Clothing & Apparel","Women's Wide Leg Pants","G4Free EverGoing Yoga Pants Women Wide Leg Pants High Waisted","G4Free","B0CSJQKWDB","https://www.amazon.com/dp/B0CSJQKWDB","https://m.media-amazon.com/images/I/61VCt7GZKFL._AC_SL1500_.jpg","$26.34","4.4","11,525","#1 in Women's Casual Pants","Trending wide-leg style capturing athleisure market shift"
"Top-performing","Clothing & Apparel","Men's Outerwear","Arctix Men's Insulated Winter Jacket, Liquid Black, Large","Arctix","B07X2WRDKV","https://www.amazon.com/dp/B07X2WRDKV","https://m.media-amazon.com/images/I/71t0WnxbFQL._AC_SL1500_.jpg","$54.99","4.4","18,932","#2 in Men's Insulated Jackets","Seasonal bestseller with excellent value proposition and strong repeat purchase rate"
"Top-performing","Clothing & Apparel","Women's Socks","Dosoni Women's Fuzzy Slipper Socks Warm Cozy Fluffy Winter Socks, 6 Pairs","Dosoni","B0B5RHBPTL","https://www.amazon.com/dp/B0B5RHBPTL","https://m.media-amazon.com/images/I/91wSwWNiY5L._AC_SL1500_.jpg","$14.99","4.6","22,145","#1 in Women's Casual Socks","Multi-pack value drives high conversion; seasonal demand peaks drive BSR"
"Top-performing","Food & Grocery","Energy Drinks","CELSIUS Assorted Flavors Official Variety Pack, Functional Essential Energy Drinks, 12 Fl Oz (Pack of 12)","CELSIUS","B0CHX7Y9FN","https://www.amazon.com/dp/B0CHX7Y9FN","https://m.media-amazon.com/images/I/81n6HvM5cjL._AC_SL1500_.jpg","$19.99","4.6","99,020","#1 in Energy Drinks","Dominant #1 bestseller in grocery category with 99K+ reviews and massive sales velocity"
"Top-performing","Food & Grocery","Sparkling Water","Sparkling Ice, Black Raspberry Sparkling Water, Zero Sugar, with Vitamins and Antioxidants, 17 Fl Oz (Pack of 12)","Sparkling Ice","B005FOUGNE","https://www.amazon.com/dp/B005FOUGNE","https://m.media-amazon.com/images/I/61Qlaz04a1L._AC_SL1500_.jpg","$12.49","4.6","107,391","#2 in Flavored Water","Over 107K reviews; top-selling flavored water with consistent bestseller ranking"
"Top-performing","Food & Grocery","Protein Shakes","Core Power Elite High Protein Shake (42g), Chocolate, Ready To Drink, 14 Fl Oz (Pack of 12)","Core Power","B09B3P19G4","https://www.amazon.com/dp/B09B3P19G4","https://m.media-amazon.com/images/I/71mL1FSdqRL._AC_SL1500_.jpg","$48.37","4.6","38,865","#3 in Protein Drinks","Premium protein shake with high average order value and strong repeat purchase rate"
"Top-performing","Food & Grocery","Coffee Pods","Nespresso Capsules VertuoLine, Variety Pack, Medium and Dark Roast Coffee, 30 Count","Nespresso","B01N05APQY","https://www.amazon.com/dp/B01N05APQY","https://m.media-amazon.com/images/I/71dDTHbhLSL._AC_SL1500_.jpg","$42.00","4.8","140,339","#1 in Single-Serve Coffee Capsules","140K reviews, 4.8 rating — highest-rated grocery bestseller; premium coffee leader"
"Top-performing","Food & Grocery","Protein Shakes","Premier Protein Shake, Chocolate, 30g Protein, 11.5 fl oz, 12 Count","Premier Protein","B00MR40LPM","https://www.amazon.com/dp/B00MR40LPM","https://m.media-amazon.com/images/I/71CqJjm-P7L._AC_SL1500_.jpg","$29.57","4.6","57,870","#5 in Protein Drinks","Strong mid-range protein shake with high volume and loyal Subscribe & Save base"
"Top-performing","Food & Grocery","Sports Drinks","Propel, Kiwi Strawberry, Zero Calorie Water Beverage with Electrolytes & Vitamins, 16.9 Fl Oz (Pack of 12)","Propel","B003QQ3O48","https://www.amazon.com/dp/B003QQ3O48","https://m.media-amazon.com/images/I/71c0DXxLb2L._AC_SL1500_.jpg","$9.86","4.7","65,773","#3 in Sports Nutrition Endurance Drinks","Value price point under $10 drives high Subscribe & Save adoption; 65K+ reviews"
"Top-performing","Food & Grocery","Coffee Pods","Amazon Fresh Happy Belly Medium Roast Coffee Pods, 100 Count","Amazon Fresh","B07STCPJGR","https://www.amazon.com/dp/B07STCPJGR","https://m.media-amazon.com/images/I/71tP0J2QNDL._AC_SL1500_.jpg","$33.43","4.3","90,138","#2 in Single-Serve Coffee","Amazon private label advantage in search placement; massive 90K review count"
"Top-performing","Food & Grocery","Snack Bars","KIND Bars, Dark Chocolate Nuts & Sea Salt, Gluten Free, 1.4 Ounce (Pack of 12)","KIND","B007PE7ANY","https://www.amazon.com/dp/B007PE7ANY","https://m.media-amazon.com/images/I/81XjJih1WyL._AC_SL1500_.jpg","$16.08","4.7","112,345","#1 in Nutrition Bars","112K reviews; dominant nutrition bar brand with strong Subscribe & Save"
"Top-performing","Food & Grocery","Tea","Stash Tea Bags Sampler Assortment Box, 52 Count","Stash","B00P04I6MA","https://www.amazon.com/dp/B00P04I6MA","https://m.media-amazon.com/images/I/81dhxkEFSmL._AC_SL1500_.jpg","$14.98","4.7","34,567","#1 in Tea Samplers","Variety pack format drives gift purchases and trial conversions"
"Top-performing","Food & Grocery","Nut Butter","Jif Creamy Peanut Butter, 40 Ounces","Jif","B074J6FMZK","https://www.amazon.com/dp/B074J6FMZK","https://m.media-amazon.com/images/I/81C1GXEV0ML._AC_SL1500_.jpg","$7.48","4.8","45,678","#1 in Peanut Butter","Household staple brand, 4.8 rating, consistent pantry-staple purchases"
"Top-performing","Pet Supplies","Dog Training Pads","Amazon Basics Dog and Puppy Pee Pads, 5-Layer Leak-Proof, Regular 22x22, 100 Count","Amazon Basics","B07F8QDZQS","https://www.amazon.com/dp/B07F8QDZQS","https://m.media-amazon.com/images/I/71hV-8iAbwL._AC_SL1500_.jpg","$17.20","4.5","221,652","#1 in Pet Supplies","#1 overall in Pet Supplies with 221K reviews; Amazon Basics search advantage"
"Top-performing","Pet Supplies","Cat Litter","Fresh Step Clumping Cat Litter, Multi-Cat, Activated Charcoal, 14 lb","Fresh Step","B07C5GRCFF","https://www.amazon.com/dp/B07C5GRCFF","https://m.media-amazon.com/images/I/81ZLCkNqv7L._AC_SL1500_.jpg","$10.49","4.6","92,012","#1 in Cat Litter","Dominant cat litter with 92K reviews and strong Subscribe & Save"
